Time (UTC),Time (UTC+7),t_sec,Plane,SatInPlane,SatID,RAAN(deg),M0(deg),Azimuth (deg),Elevation (deg),Slant Range (m),Sat Lat (deg),Sat Lon (deg),Sat Alt (m)
2024-10-21 16:35:20.000,2024-10-21 23:35:20.000,59720,0,3,P00-S03,0.0,270.0,187.33172790440616,1.739515693494183,2636064.850264117,-3.2997717597122396,96.19200894798747,600070.3016117634
2024-10-21 16:35:20.000,2024-10-21 23:35:20.000,59720,3,1,P03-S01,216.0,144.0,114.92745270951079,9.086793074405664,1997972.4374474688,11.3320080458495,114.11297558653752,600819.484211606
2024-10-21 16:35:30.000,2024-10-21 23:35:30.000,59730,0,3,P00-S03,0.0,270.0,185.80707655338387,1.6725420574296903,2642945.9349569515,-3.4245873427928353,96.75929509240312,600075.7142833332
2024-10-21 16:35:30.000,2024-10-21 23:35:30.000,59730,3,1,P03-S01,216.0,144.0,113.83150877034663,8.367322211300378,2051574.8495400138,11.3766493367041,114.70236994318628,600825.8701742245
2024-10-21 16:35:40.000,2024-10-21 23:35:40.000,59740,0,3,P00-S03,0.0,270.0,184.29134431008052,1.590737167961614,2651394.1893655313,-3.5490163712291296,97.3267378786161,600081.3092479976
2024-10-21 16:35:40.000,2024-10-21 23:35:40.000,59740,3,1,P03-S01,216.0,144.0,112.79598136006999,7.66424610815252,2105892.1394744604,11.419945469125608,115.291956957869,600832.0864473796
2024-10-21 16:35:50.000,2024-10-21 23:35:50.000,59750,0,3,P00-S03,0.0,270.0,182.78623328418985,1.4944070986155527,2661393.618567979,-3.673044663932001,97.8943425424046,600087.0838793004
2024-10-21 16:35:50.000,2024-10-21 23:35:50.000,59750,3,1,P03-S01,216.0,144.0,111.81648858053863,6.9771761344220655,2160865.077800416,11.461890793949296,115.88173151110674,600838.1301157046
2024-10-21 16:36:00.000,2024-10-21 23:36:00.000,59760,0,3,P00-S03,0.0,270.0,181.29336733695752,1.3839050261974843,2672925.5874786507,-3.7966580709268656,98.46211425181977,600093.0354664624
2024-10-21 16:36:00.000,2024-10-21 23:36:00.000,59760,3,1,P03-S01,216.0,144.0,110.88899462101172,6.305648431380197,2216439.4899200983,11.502479832232837,116.4716883861246,600843.9983447995
2024-10-21 16:36:10.000,2024-10-21 23:36:10.000,59770,0,3,P00-S03,0.0,270.0,179.81428237842752,1.2596266825561895,2685968.977024127,-3.9198424745942253,99.03005810488926,600099.1612156574
2024-10-21 16:36:10.000,2024-10-21 23:36:10.000,59770,3,1,P03-S01,216.0,144.0,110.00978642207761,5.649147281465689,2272565.795685976,11.541707276520693,117.06182227138592,600849.6883825734
2024-10-21 16:36:20.000,2024-10-21 23:36:20.000,59780,0,3,P00-S03,0.0,270.0,178.35041816075554,1.122005435031618,2700500.356273668,-4.042583790922208,99.5981791273692,600105.4582513282
2024-10-21 16:36:20.000,2024-10-21 23:36:20.000,59780,3,1,P03-S01,216.0,144.0,109.17545014457369,5.007123599622563,2329198.585074139,11.579567992075416,117.65212776321992,600855.1975605162
2024-10-21 16:36:30.000,2024-10-21 23:36:30.000,59790,0,3,P00-S03,0.0,270.0,176.9031116373566,0.9715071147935401,2716494.1673783753,-4.164867970770432,100.16648227048577,600111.923617526
2024-10-21 16:36:30.000,2024-10-21 23:36:30.000,59790,3,1,P03-S01,216.0,144.0,108.38284810917777,4.37900942790782,2386296.229419427,11.616057018074738,118.24259936848071,600860.5232949574
2024-10-21 16:36:40.000,2024-10-21 23:36:40.000,59800,0,3,P00-S03,0.0,270.0,175.47359191317437,0.8086247109630301,2733922.920101038,-4.286681001147837,100.73497240872427,600118.5542793162
2024-10-21 16:36:40.000,2024-10-21 23:36:40.000,59800,3,1,P03-S01,216.0,144.0,107.62909664367662,3.7642291793471734,2443820.526880815,11.651169568774295,118.83323150729483,600865.6630882742
2024-10-21 16:36:50.000,2024-10-21 23:36:50.000,59810,0,3,P00-S03,0.0,270.0,174.06297677014737,0.6338730430180771,2752757.392738201,-4.408008906501542,101.3036543376036,600125.3471241975
2024-10-21 16:36:50.000,2024-10-21 23:36:50.000,59810,3,1,P03-S01,216.0,144.0,106.91154510804976,3.162208255073829,2501736.3802736155,11.684901034634171,119.4240185158309,600870.6145300614
2024-10-21 16:37:00.000,2024-10-21 23:37:00.000,59820,0,3,P00-S03,0.0,270.0,172.672270714237,0.4477835151235577,2772966.836341545,-4.52883775001936,101.87253277150789,600132.2989635617
2024-10-21 16:37:00.000,2024-10-21 23:37:00.000,59820,3,1,P03-S01,216.0,144.0,106.22775624711001,2.5723795515304824,2560011.5051237065,11.717246983409149,120.01495464916236,600875.3752982579
2024-10-21 16:37:10.000,2024-10-21 23:37:10.000,59830,0,3,P00-S03,0.0,270.0,171.30236445861894,0.2508990444787478,2794519.1793219936,-4.649153634945226,102.44161234152317,600139.4065341987
2024-10-21 16:37:10.000,2024-10-21 23:37:10.000,59830,3,1,P03-S01,216.0,144.0,105.57548793556694,1.9941882826043191,2618616.1656523794,11.748203161201593,120.6060340841677,600879.9431602405
2024-10-21 16:37:20.000,2024-10-21 23:37:20.000,59840,0,3,P00-S03,0.0,270.0,169.95403573138802,0.04376924231710169,2817381.2297567823,-4.768942705907897,103.0108975932917,600146.6664998261
2024-10-21 16:37:20.000,2024-10-21 23:37:20.000,59840,3,1,P03-S01,216.0,144.0,104.95267632147363,1.4270954636054345,2677522.9363843366,11.777765493476222,121.19725092247816,600884.3159738574
